entity_id	kind	rank	label	taxon_id	born	sex	source_id	note
SSA:0002038	group	matriline	T072s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T072 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002039	group	matriline	T073s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T073 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002040	group	matriline	T074s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T074 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002041	group	matriline	T075s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T075 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002042	group	matriline	T077s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T077 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002043	group	matriline	T085s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T085 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002044	group	matriline	T086s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T086 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002045	group	matriline	T087s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T087 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002046	group	matriline	T091s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T091 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002047	group	matriline	T093s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T093 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002048	group	matriline	T097s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T097 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002049	group	matriline	T099s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T099 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002050	group	matriline	T100s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T100 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002051	group	matriline	T101s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T101 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002052	group	matriline	T102s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T102 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002053	group	matriline	T103s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T103 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002054	group	matriline	T109s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T109 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002055	group	matriline	T111s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T111 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002056	group	matriline	T112s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T112 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002057	group	matriline	T113s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T113 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002058	group	matriline	T114s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T114 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002059	group	matriline	T115s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T115 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002060	group	matriline	T116s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T116 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002061	group	matriline	T117s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T117 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002062	group	matriline	T118s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T118 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002063	group	matriline	T120s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T120 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002064	group	matriline	T121s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T121 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002065	group	matriline	T122s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T122 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002066	group	matriline	T123s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T123 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002067	group	matriline	T124s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T124 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002068	group	matriline	T125s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T125 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002069	group	matriline	T127s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T127 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002070	group	matriline	T128s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T128 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002071	group	matriline	T129s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T129 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002072	group	matriline	T130s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T130 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002073	group	matriline	T131s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T131 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002074	group	matriline	T132s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T132 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002075	group	matriline	T133s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T133 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002076	group	matriline	T134s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T134 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002077	group	matriline	T135s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T135 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002078	group	matriline	T137s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T137 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002079	group	matriline	T139s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T139 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002080	group	matriline	T140s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T140 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002081	group	matriline	T141s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T141 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002082	group	matriline	T142s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T142 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002083	group	matriline	T143s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T143 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002084	group	matriline	T146s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T146 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002085	group	matriline	T147s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T147 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002086	group	matriline	T148s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T148 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002087	group	matriline	T149s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T149 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002088	group	matriline	T150s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T150 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002089	group	matriline	T151s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T151 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002090	group	matriline	T152s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T152 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002091	group	matriline	T157s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T157 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002092	group	matriline	T160s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T160 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002093	group	matriline	T161s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T161 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002094	group	matriline	T162s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T162 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002095	group	matriline	T165s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T165 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002096	group	matriline	T166s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T166 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002097	group	matriline	T167s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T167 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002098	group	matriline	T168s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T168 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002099	group	matriline	T169s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T169 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002100	group	matriline	T170s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T170 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002101	group	matriline	T171s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T171 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002102	group	matriline	T172s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T172 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002103	group	matriline	T173s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T173 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002104	group	matriline	T174s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T174 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002105	group	matriline	T175s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T175 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002106	group	matriline	T176s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T176 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002107	group	matriline	T177s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T177 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002108	group	matriline	T178s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T178 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002109	group	matriline	T179s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T179 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002110	group	matriline	T180s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T180 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002111	group	matriline	T181s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T181 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002112	group	matriline	T182s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T182 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002113	group	matriline	T183s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T183 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002114	group	matriline	T184s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T184 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002115	group	matriline	T185s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T185 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002116	group	matriline	T186s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T186 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002117	group	matriline	T187s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T187 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002118	group	matriline	T188s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T188 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002119	group	matriline	T196s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T196 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002120	group	matriline	T197s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T197 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002121	group	matriline	T199s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T199 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002122	group	matriline	T221s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T221 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002123	group	matriline	T223s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T223 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002124	group	matriline	T224s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T224 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002125	group	matriline	T225s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T225 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002126	group	matriline	T227s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T227 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002127	group	matriline	T250s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T250 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002128	group	matriline	T251s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T251 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002129	group	matriline	T252s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T252 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002130	group	matriline	T253s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T253 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0010000	individual		T002B	NCBITaxon:9733	1979	F	BIGGS-SHEET	
SSA:0010001	individual		T002C	NCBITaxon:9733	1989	F	BIGGS-SHEET	
SSA:0010002	individual		T002C1	NCBITaxon:9733	2002	M	BIGGS-SHEET	
SSA:0010003	individual		T002C2	NCBITaxon:9733	2005	M	BIGGS-SHEET	
SSA:0010004	individual		T002C3	NCBITaxon:9733	2011	F	BIGGS-SHEET	
SSA:0010005	individual		T002C4	NCBITaxon:9733	2017		BIGGS-SHEET	
SSA:0010006	individual		T002C5	NCBITaxon:9733	2020		BIGGS-SHEET	
SSA:0010007	individual		T002C6	NCBITaxon:9733	2025		BIGGS-SHEET	
SSA:0010008	individual		T007	NCBITaxon:9733	../1961	F	BIGGS-SHEET	Sheet records '≤1961'.
SSA:0010009	individual		T007A	NCBITaxon:9733	1976	M	BIGGS-SHEET	
SSA:0010010	individual		T007B	NCBITaxon:9733	1982	F	BIGGS-SHEET	
SSA:0010011	individual		T007B3	NCBITaxon:9733	2005	M	BIGGS-SHEET	
SSA:0010012	individual		T007B4	NCBITaxon:9733	2010	M	BIGGS-SHEET	
SSA:0010013	individual		T007B6	NCBITaxon:9733	2018	M	BIGGS-SHEET	
SSA:0010014	individual		T007B7	NCBITaxon:9733	2022	M	BIGGS-SHEET	
SSA:0010015	individual		T010	NCBITaxon:9733	../1964	F	BIGGS-SHEET	Sheet records '≤1964'.
SSA:0010016	individual		T010B	NCBITaxon:9733	1983	M	BIGGS-SHEET	
SSA:0010017	individual		T010C	NCBITaxon:9733	1999	M	BIGGS-SHEET	
SSA:0010018	individual		T011	NCBITaxon:9733	../1964	F	BIGGS-SHEET	Sheet records '≤1964'.
SSA:0010019	individual		T011A	NCBITaxon:9733	1978	M	BIGGS-SHEET	
SSA:0010020	individual		T012A	NCBITaxon:9733	1982	M	BIGGS-SHEET	
SSA:0010021	individual		T018	NCBITaxon:9733	../1955	F	BIGGS-SHEET	Sheet records '≤1955'.
SSA:0010022	individual		T019	NCBITaxon:9733	../1965	F	BIGGS-SHEET	Sheet records '≤1965'.
SSA:0010023	individual		T019B	NCBITaxon:9733	1995	M	BIGGS-SHEET	
SSA:0010024	individual		T019C	NCBITaxon:9733	2001	M	BIGGS-SHEET	
SSA:0010025	individual		T020	NCBITaxon:9733	../1963	M	BIGGS-SHEET	Sheet records '≤1963'.
SSA:0010026	individual		T021	NCBITaxon:9733	../1967	F	BIGGS-SHEET	Sheet records '<1968'.
SSA:0010027	individual		T023	NCBITaxon:9733	../1964	F	BIGGS-SHEET	Sheet records '≤1964'.
SSA:0010028	individual		T023C	NCBITaxon:9733	1990	F	BIGGS-SHEET	
SSA:0010029	individual		T023C3	NCBITaxon:9733	2009	F	BIGGS-SHEET	
SSA:0010030	individual		T023C4	NCBITaxon:9733	2013		BIGGS-SHEET	
SSA:0010031	individual		T023C5	NCBITaxon:9733	2018	F	BIGGS-SHEET	
SSA:0010032	individual		T023C6	NCBITaxon:9733	2023		BIGGS-SHEET	
SSA:0010033	individual		T023D	NCBITaxon:9733	1993	F	BIGGS-SHEET	
SSA:0010034	individual		T023D3	NCBITaxon:9733	2012	M	BIGGS-SHEET	
SSA:0010035	individual		T023D4	NCBITaxon:9733	2015		BIGGS-SHEET	
SSA:0010036	individual		T023D5	NCBITaxon:9733	2019		BIGGS-SHEET	
